LP,Prioridade,Pergunta (PT),Pergunta (EN),Tem Case?,Case ID,Case Title,Score,Reasoning
customer_obsession,ALTA,"Conte uma situação onde você foi além da expectativa do cliente ou antecipou uma necessidade não expressa","Tell me about a time you went above and beyond customer expectations or anticipated an unexpressed need",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
customer_obsession,NORMAL,"Me fale sobre uma vez que você colocou o cliente em primeiro lugar","Tell me about a time you put the customer first",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",90,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+15)"
customer_obsession,NORMAL,"Conte sobre quando você teve que escolher entre cliente e métricas internas","Tell me about when you had to choose between customer and internal metrics",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
customer_obsession,NORMAL,"Como você entende as necessidades dos clientes?","How do you understand customer needs?",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
customer_obsession,NORMAL,"Descreva uma situação onde você melhorou a experiência do cliente","Describe a situation where you improved customer experience",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",90,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+15)"
customer_obsession,NORMAL,"Conte sobre uma vez que você usou feedback de clientes para mudar completamente uma estratégia de produto","Tell me about a time you used customer feedback to completely change a product strategy",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
customer_obsession,NORMAL,"Descreva uma situação onde você teve que equilibrar demandas competitivas de múltiplos clientes","Describe a situation where you had to balance competing demands from multiple customers",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
customer_obsession,NORMAL,"Me fale sobre quando você não conseguiu atender a expectativa de um cliente - o que você aprendeu?","Tell me about when you couldn't meet a customer's expectation - what did you learn?",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
customer_obsession,NORMAL,"Como você prioriza necessidades de clientes quando recursos são limitados?","How do you prioritize customer needs when resources are limited?",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
customer_obsession,NORMAL,"Conte sobre uma vez que você defendeu um cliente mesmo quando isso não era popular internamente","Tell me about a time you defended a customer even when it wasn't internally popular",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
customer_obsession,NORMAL,"Como você equilibra prevenção de fraude com experiência do cliente?","How do you balance fraud prevention with customer experience?",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",90,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+15)"
customer_obsession,NORMAL,"Como você reduziu chargebacks/disputas mantendo satisfação do cliente?","How did you reduce chargebacks/disputes while maintaining customer satisfaction?",sim,bradesco-next-customer-ritual,"Liderei o Ritual de Voz do Cliente que Levou o NPS do Next de 35 para 62",85,"Case do LP correto (customer_obsession); 1 keyword presente; Foco em cliente/experiência alinhado; Conceito alinhado (+10)"
ownership,ALTA,"Nos conte uma situação onde você assumiu responsabilidade além do seu escopo de trabalho e área de conhecimento - como lidou com isso, equilibrando as tarefas atuais/normais com essas outras (novas)?","Tell me about a situation where you took responsibility beyond your work scope and area of knowledge - how did you handle it, balancing current/normal tasks with these new ones?",sim,hsbc-migration-leadership,"Liderança da Migração de US$ 5.2B de Ativos e Contas",55,"Case do LP correto (ownership); Conceito alinhado (+15)"
ownership,NORMAL,"Me dê um exemplo de quando você foi além da sua função","Give me an example of when you went beyond your role",sim,hsbc-migration-leadership,"Liderança da Migração de US$ 5.2B de Ativos e Contas",45,"Case do LP correto (ownership); Conceito alinhado (+5)"
ownership,NORMAL,"Conte sobre uma decisão de longo prazo que você tomou","Tell me about a long-term decision you made",não,,"",40,"Nenhum case adequado. Melhor disponível: ""Reconciliei US$47M de Pagamentos na Reta Final do Cutover"" (score 40/100). Case do LP correto (ownership)"
ownership,NORMAL,"Como você age quando algo não é sua responsabilidade?","How do you act when something isn't your responsibility?",sim,hsbc-migration-leadership,"Liderança da Migração de US$ 5.2B de Ativos e Contas",45,"Case do LP correto (ownership); Conceito alinhado (+5)"
ownership,NORMAL,"Me fale sobre um trade-off difícil que você fez pensando no longo prazo","Tell me about a difficult trade-off you made thinking long-term",não,,"",40,"Nenhum case adequado. Melhor disponível: ""Reconciliei US$47M de Pagamentos na Reta Final do Cutover"" (score 40/100). Case do LP correto (ownership)"
ownership,NORMAL,"Descreva uma situação onde você tomou uma decisão importante de negócio sem consultar seu gestor","Describe a situation where you made an important business decision without consulting your manager",não,,"",40,"Nenhum case adequado. Melhor disponível: ""Reconciliei US$47M de Pagamentos na Reta Final do Cutover"" (score 40/100). Case do LP correto (ownership)"
ownership,NORMAL,"Me fale sobre quando você identificou uma ineficiência e tomou ownership para melhorar","Tell me about when you identified an inefficiency and took ownership to improve it",sim,payment-incidents-prevention-mechanism,"Transformei Incidentes Reincidentes em Mecanismo de Confiabilidade",50,"Case do LP correto (ownership); 1 keyword presente"
ownership,NORMAL,"Como você lida com situações onde precisa assumir responsabilidade por erros?","How do you handle situations where you need to take responsibility for mistakes?",sim,hsbc-migration-leadership,"Liderança da Migração de US$ 5.2B de Ativos e Contas",45,"Case do LP correto (ownership); Conceito alinhado (+5)"
ownership,NORMAL,"Descreva um projeto que você liderou do início ao fim - como garantiu o sucesso?","Describe a project you led from start to finish - how did you ensure success?",sim,hsbc-migration-leadership,"Liderança da Migração de US$ 5.2B de Ativos e Contas",80,"Case do LP correto (ownership); Projeto de grande escala"
ownership,NORMAL,"Descreva quando você criou um mecanismo para prevenir problemas recorrentes em pagamentos","Describe when you created a mechanism to prevent recurring problems in payments",sim,hsbc-payment-reconciliation,"Reconciliei US$47M de Pagamentos na Reta Final do Cutover",75,"Case do LP correto (ownership); 1 keyword presente; Contexto de pagamentos/fraude alinhado"
invent_simplify,ALTA,"Conte sobre uma inovação que você implementou que simplificou um processo (que era complexo)?","Tell me about an innovation you implemented that simplified a (complex) process?",sim,payment-simplification-high-impact,"Inventei motor de simplificacao de liquidez que reduziu D+3 para D+0 em marketplaces",75,"Case do LP correto (invent_simplify); Contexto de inovação/simplificação alinhado; Conceito alinhado (+10)"
invent_simplify,NORMAL,"Me fale sobre uma solução criativa que você desenvolveu","Tell me about a creative solution you developed",sim,unimed-open-innovation,"Inventei plataforma aberta com LP SaaS que reduziu ciclo de inovacao em 68%",65,"Case do LP correto (invent_simplify); Contexto de inovação/simplificação alinhado"
invent_simplify,NORMAL,"Como você simplifica processos complexos?","How do you simplify complex processes?",sim,unimed-open-innovation,"Inventei plataforma aberta com LP SaaS que reduziu ciclo de inovacao em 68%",65,"Case do LP correto (invent_simplify); Contexto de inovação/simplificação alinhado"
invent_simplify,NORMAL,"Descreva uma situação onde você desafiou o status quo","Describe a situation where you challenged the status quo",não,,"",40,"Nenhum case adequado. Melhor disponível: ""Inventei plataforma aberta com LP SaaS que reduziu ciclo de inovacao em 68%"" (score 40/100). Case do LP correto (invent_simplify)"
invent_simplify,NORMAL,"Me fale sobre uma vez que você criou um processo mais simples que teve grande impacto","Tell me about a time you created a simpler process that had great impact",não,,"",40,"Nenhum case adequado. Melhor disponível: ""Inventei plataforma aberta com LP SaaS que reduziu ciclo de inovacao em 68%"" (score 40/100). Case do LP correto (invent_simplify)"
invent_simplify,NORMAL,"Conte sobre quando você teve um plano mas encontrou obstáculos - como você pivotou?","Tell me about when you had a plan but encountered obstacles - how did you pivot?",não,,"",40,"Nenhum case adequado. Melhor disponível: ""Inventei plataforma aberta com LP SaaS que reduziu ciclo de inovacao em 68%"" (score 40/100). Case do LP correto (invent_simplify)"
invent_simplify,NORMAL,"Descreva uma situação onde você equilibrou inovação com risco","Describe a situation where you balanced innovation with risk",sim,payment-simplification-high-impact,"Inventei motor de simplificacao de liquidez que reduziu D+3 para D+0 em marketplaces",75,"Case do LP correto (invent_simplify); Contexto de inovação/simplificação alinhado; Conceito alinhado (+10)"
